Rank	Score	ADR	r_Drugname	Support	Confidence	Drug1	Support1	Confidence1	Drug2	Support2	Confidence2	id
249	0.13303642	Abdominalpain	[SIMVASTATIN] [DOXAZOSIN]	15	37.5	SIMVASTATIN	67	3.42886	DOXAZOSIN	16	11.9403	"105033682,105079013,105131152,105142801,105161422,105221981,105239392,105831061,105878151,105947441,105969691,106019221,106029451,106074591,106091491,106098241,106129421,107048061"
251	0.132729994	Secondaryimmunodeficiency	[PREDNISONE] [Rituximab]	46	46.9388	PREDNISONE	46	2.60919	Rituximab	46	12.8134	"100402563,106564951,106599931,106599951,106599961,106600001,106600021,106600031,106600051,106600061,106600071,106600181,106600191,106600231,106600251,106600261,106600281,106600301,106600311,106600331,106600391,106600421,106600441,106600611,106600631,106600641,106600651,106600661,106600671,106600691,106600701,106600721,106600771,106600781,106600791,106600801,106600811,106600821,106600831,106600841,106600851,106600871,106600891,106600971,106600991,106601011"
252	0.132371429	Headache	[ISOSORBIDEMONONITRATE] [SIMVASTATIN]	14	58.3333	ISOSORBIDEMONONITRATE	14	16.8675	SIMVASTATIN	52	2.66121	"105539491,105581681,105622141,105626671,105831061,105878151,105947441,105969691,106019221,106029451,106074591,106098241,106129421,107048061"
254	0.131285882	Anaemia	[RIBAVIRIN] [NEXIUM]	11	55	NEXIUM	23	3.27169	RIBAVIRIN	180	18.6722	"103330614,104080483,104524522,104752562,105150532,105431283,105586012,105954391,105998651,106132631,106267451,106447091"
257	0.128925064	Pulmonary embolism	[SIMVASTATIN] [GABAPENTIN]	16	22.8571	GABAPENTIN	22	2.64741	SIMVASTATIN	23	1.17707	"103547983,105195211,105212231,105212881,105254031,105259482,105264171,105270991,105282491,105296981,105312481,105399041,105423491,105431821,105478411,105489521,105520251,105534521,105568932,106259721"
260	0.127475514	Toxicity to various agents	[THALOMID] [DEXAMETHASONE]	10	31.25	DEXAMETHASONE	114	7.14734	THALOMID	15	15.3061	"105118801,105145791,105156751,105199621,105355731,105390681,105434781,106089041,106372401,106405471,106687911"
264	0.125807851	Pyrexia	[PEGINTRON] [SIMEPREVIR]	34	34	PEGINTRON	60	21.8978	SIMEPREVIR	42	19.0909	"101742342,102543854,102990292,103068373,103321492,103678473,103893013,104014662,104198002,104629822,104656382,104677512,104760952,104768543,104794222,104938603,104963062,105032661,105045182,105123602,105234522,105238593,105297701,105321942,105560213,105724462,106002061,106132631,106136501,106270431,106394461,106403621,106420021,106447751,106454561,106500442"
265	0.12568778	Cardiac failure congestive	[LASIX] [LISINOPRIL]	27	24.7706	LASIX	120	10.0167	LISINOPRIL	88	6.01093	"101078902,101079762,101079822,101080532,101082512,101093592,101093842,101100952,101102592,101114232,101118372,101137572,101204992,101205432,101205862,101211792,101255252,102598324,103156332,103169012,103174162,103181002,103197932,103198512,104563512,104578843,104647852,104875841,105060382,105143962,105394772,105394802,105410604,105861722,105900182,106259721,106574041,645955133,93032825,98147413,98448433,99006678"
271	0.123324462	Drug ineffective	[REMICADE] [HUMIRA]	15	18.75	REMICADE	67	6.18652	HUMIRA	181	5.77905	"103100878,103967052,105011551,105134902,105167271,105253434,105724391,105790381,105847452,105963401,106078171,106158241,106183542,106534622,106609371,106819702,73193905,84349824,84421953,99583704"
272	0.1231339	Internationalnormalisedratioincreased	[BISOPROLOL] [FUROSEMIDE]	11	16.6667	FUROSEMIDE	24	2.04953	BISOPROLOL	17	2.70701	"101489582,104860731,104882031,104885391,104896931,104900611,104986321,105037281,105037511,105044151,105068801,105068871,105111291,105134831,105141141,105153691,105161671,105242111,105305431,105579392,105598401,105617881,105642901,105871301,106073931,106203331,106379251,106441601,106636671"
275	0.122119411	Myocardial infarction	[LASIX] [DIGOXIN]	14	22.9508	LASIX	124	10.3506	DIGOXIN	34	8.54271	"101025012,101073832,101077292,101092232,101092932,101107882,101109162,101115832,101121853,101142282,101185972,101204992,101205942,101206212,101211792,101249502,104653572,104789432,105223762,105416471,106599971,98823506"
277	0.121652596	Neutropenia	[CISPLATIN] [CYCLOPHOSPHAMIDE]	10	19.6078	CISPLATIN	36	6.1017	CYCLOPHOSPHAMIDE	55	6.99746	"100892302,102946715,103804003,104743354,105100101,105100741,105129353,105813652,105978062,106133741,106148361,106357231,106554671,106554681,106554691,106555051,106555071,106555091,106571871,106572261,106636611,86137562"
278	0.121643745	Myocardial infarction	[ASPIRIN] [LISINOPRIL]	97	28.1977	LISINOPRIL	167	11.4071	ASPIRIN	474	15.8847	"101027502,101039282,101040372,101046692,101050302,101051462,101055312,101056742,101062582,101065292,101069422,101069822,101070202,101072062,101073552,101075482,101076382,101076462,101078282,101078902,101079242,101079402,101079652,101079822,101079862,101079932,101080492,101080572,101080762,101082382,101082442,101082512,101083462,101090282,101091382,101092132,101092812,101093202,101093252,101093312,101093592,101094282,101094502,101094802,101095932,101095952,101096712,101096792,101099312,101100942,101100952,101101572,101101982,101102492,101102592,101102972,101104112,101104582,101106342,101108072,101108322,101109102,101109662,101109882,101110902,101111182,101112732,101112862,101113792,101114232,101115072,101115292,101115392,101115412,101115452,101116392,101116482,101116522,101117482,101118272,101118372,101119292,101119342,101119892,101120082,101120552,101120782,101121902,101125662,101126742,101136572,101137572,101140372,101142432,101144232,101178552,101187522,101189322,101189692,101192302,101193632,101194282,101200992,101202252,101203032,101203042,101204992,101205042,101205052,101205432,101205762,101205862,101207242,101211792,101211862,101212462,101212762,101215742,101222132,101226142,101228552,101253142,101253622,101255252,101255282,101256582,102214994,102376643,102428223,102598324,102786942,102974092,103156992,103671452,104015213,104431372,104531363,104556483,104609392,104653572,104745413,104789432,104790523,104856342,105111911,105283641,105416471,105514862,105632352,105633234,105674742,105966371,106017211,106417952,106599971,106612261,106806981,106807392,106849552,106864281,78397693,83009564,87843502,88574995,93875963,94194524"
284	0.120026031	Atrialfibrillation	[COUMADIN] [AVANDIA]	12	15.5844	AVANDIA	163	3.32653	COUMADIN	34	3.14524	"101093142,101102022,101120202,101120302,101205162,101207032,101219452,103155792,103163712,103181512,103188852,105394522"
287	0.119138736	Anaemia	[RIBAVIRIN] [SOVRIAD]	34	36.1702	SOVRIAD	39	25.4902	RIBAVIRIN	180	18.6722	"102410694,102413934,102415775,102468655,102478853,102644393,102650774,102667304,102835755,102905054,102905064,102905094,103012965,103400693,103483353,103570144,103634344,103673414,103706323,103765583,103820643,104013632,104030853,104080404,104080483,104088864,104197512,104280613,104300153,104334692,104343352,104353412,104423492,104455092,104455472,104493594,104524522,104600362,104690702,104804712,105028022,105040392,105094441,105224821,105331321,105406411,105407604,105431181,105431283,105705482,105705491,105717522,105718471,105954391,105980131,105980152,106022282,106115371,106407771,106637061"
288	0.119137504	Disease progression	[ELOXATIN] [XELODA]	16	80	ELOXATIN	90	73.1707	XELODA	51	14.4068	"105935471,105940361,106147781,106148151,106246861,106274911,106362281,106387341,106389281,106390291,106394851,106395671,106395771,106445821,106446781,106567841"
291	0.118312118	Toxicity to various agents	[DULOXETINE] [QUETIAPINE]	14	63.6364	DULOXETINE	46	42.9907	QUETIAPINE	23	7.87671	"105030121,105030171,105030221,105031611,105031621,105079081,105079131,105161101,105161131,105161161,105161181,105163631,105163711,105163751,105163761,105163901,105163921,105163951,105852891,106998551,106998651,106999191,106999271,106999351,106999431,106999642,106999652"
294	0.117508482	Myocardial infarction	[ASPIRIN] [NITROGLYCERIN]	83	51.875	NITROGLYCERIN	119	43.75	ASPIRIN	474	15.8847	"100108793,101027502,101040492,101046662,101046692,101050302,101056362,101058202,101060022,101067562,101068402,101068752,101069792,101069942,101071592,101072062,101076382,101077722,101078132,101078242,101078312,101078592,101079292,101079462,101079532,101079932,101080572,101081002,101082442,101082612,101083862,101090252,101090712,101092132,101092812,101093252,101094722,101095152,101095902,101096712,101096792,101098242,101098892,101099402,101100682,101100762,101102182,101102262,101102462,101102932,101103342,101103552,101103852,101104082,101104272,101104662,101104672,101105452,101106022,101106152,101106972,101107762,101107812,101107912,101108072,101108142,101109022,101109252,101109662,101109832,101115522,101115612,101116392,101117892,101118272,101119832,101120082,101121012,101121032,101136572,101139842,101139902,101140002,101140372,101140442,101141642,101167052,101170922,101187522,101189252,101189322,101193632,101203712,101204102,101207242,101207732,101209382,101209632,101211862,101216732,101221332,101226142,101251512,101253632,101257322,103156992,103168812,103238932,104962202,105111911,105394432,105394512,105394572,105396362,105925181,106017211,106116842,106137102,106807392,78397693,98344283"
296	0.116850164	"Foetal exposure during pregnancy,Drugwithdrawalsyndromeneonatal"	[NICOTINE] [SUBOXONE]	13	39.3939	SUBOXONE	30	7.35294	NICOTINE	15	23.0769	"105111071,105290261,105356091,105356562,105357942,105359091,105359221,105361881,105363091,105363142,105364882,105364992,105365881"
297	0.116673692	Drug ineffective	[ENBREL] [HUMIRA]	17	19.7674	HUMIRA	181	5.77905	ENBREL	102	3.65854	"103090592,103100878,103468272,103652123,103888394,104256964,104543592,104563012,105078081,105104802,105134902,105225453,105253434,105328971,105538441,105586781,105610182,105724391,105847452,106004461,106007701,106023222,106078171,106122282,106183542,106330951,106366331,106444341,106510201,106609371,106649661,106714511,106727451,106732931,106757381,106846191,74602085,84349824,84421953,89938564,98565423"
298	0.116120377	Myocardial infarction	[PLAVIX] [IMDUR]	15	39.4737	PLAVIX	313	19.0158	IMDUR	30	30	"101048432,101069212,101077692,101078132,101093912,101094082,101094722,101099402,101102362,101104242,101105062,101107382,101108692,101111682,101115412,101118992,101121182,101144232,101200752,101203182,101257322,103138284,104586093,104745413,105684463,106806951"
299	0.11594958	Neutrophil count decreased	[PEGINTRON] [SIMEPREVIR]	24	24	SIMEPREVIR	27	12.2727	PEGINTRON	34	12.4088	"102992463,103332463,103557972,103922263,104225602,104658662,104752562,104952101,105045182,105234522,105293021,105326641,105327791,105559331,105560521,105638051,105716281,105724462,105751582,106270431,106403621,106409841,106447751,106478711,106478891"
300	0.115461399	Pneumonia	[ALBUTEROL] [SPIRIVA]	14	24.1379	ALBUTEROL	33	12.5954	SPIRIVA	87	12.5	"101834242,103548902,103613954,1043425010,104403834,104416773,104676042,104981481,105056661,105121072,105257381,105291473,105315981,105388892,105421681,105422952,105542122,105552962,105574571,105608711,105710393,105720291,105773431,105777651,105933301,105933791,105992172,106264291,106351411,106387941,106392741,106478731,106491671,106599971,107008781,779763611,81313863,99227703"
304	0.114822311	Platelet count decreased	[RIBAVIRIN] [SIMEPREVIR]	57	41.3043	SIMEPREVIR	67	30.4545	RIBAVIRIN	119	12.3444	"102543854,102990292,103013064,103068373,103330614,103332463,103672403,103700753,103867902,104014662,104198002,104289613,104353392,104629822,104636962,104656172,104658662,104663483,104677512,104760952,104768543,104794222,104884003,104938603,104960431,104961021,104962371,104963062,105032661,105045182,105085532,105098621,105114361,105123602,105150532,105234522,105238593,105261641,105269692,105294552,105527271,105560213,105638051,105674802,105724791,105728511,105923752,105950571,105984711,106057071,106132631,106267451,106273811,106276311,106403621,106409841,106478891,106500442,106623771,106699581"
306	0.114657957	Hypotension	[AMLODIPINE] [ATENOLOL]	11	17.1875	ATENOLOL	24	3.08483	AMLODIPINE	58	4.2029	"104966961,105060373,105108711,105136061,105246131,105342891,105532771,105678241,105698582,105817271,105855321,105895111,105991701,106007602,106012082,106188351,106373741,106417321,106419111,106614851,106783941"
311	0.113762587	Myocardial infarction	[Rosiglitazone] [AVANDIA]	12	66.6667	AVANDIA	2411	49.2041	Rosiglitazone	13	59.0909	"104338313,105229072,105229422,105229772,105384982,105385052,105385082,105385222,105385402,105545522,105570872,105632462,105633392,105633582,105633622,105634302,105713531,105856391,105856472,105867491,105994071,105994111,105994211,105994451,105994651,105994921,106502511,106502551,106502631,81403252,82398852,83517023,83517632,83543462,86200872,86807232,87208792,91323912,93289502,93668382,94587932,94607672"
315	0.111617308	"Impairedworkability,Pain,Economicproblem"	[ANDROGEL] [TESTIM]	14	31.1111	TESTIM	18	20	ANDROGEL	68	19.7674	"105048371,105050211,105252511,105522332,105584331,105617391,105777111,105835511,106204001,106382991,106409241,106638851,106718401,106723591,106836021"
316	0.111552141	Thromboticmicroangiopathy	[TACROLIMUS] [METHYLPREDNISOLONE]	10	17.5439	TACROLIMUS	20	4.41501	METHYLPREDNISOLONE	12	2.97767	"105153512,105153532,105153602,106256151,106256161,106256191,106545401,106545571,106545581,106845851"
319	0.111244415	Myocardial infarction	[LANOXIN] [AVANDIA]	12	60	AVANDIA	2411	49.2041	LANOXIN	12	11.3208	"101066592,101076832,101080742,101096602,101097532,101104172,101104892,101108692,101121792,101141282,101205292,101206462,101207242,101207662,103155072,103169252"
321	0.110888458	Vomiting	[SIMVASTATIN] [DOXAZOSIN]	11	27.5	DOXAZOSIN	11	8.20896	SIMVASTATIN	54	2.76356	"105831061,105869443,105878151,105940741,105947441,105969691,106019221,106029451,106074591,106091491,106098241,106129421,107048061"
322	0.110863418	Cardiac failure congestive	[ASPIRIN] [LASIX]	46	22.7723	LASIX	120	10.0167	ASPIRIN	180	6.03217	"101042272,101043022,101060402,101067932,101069672,101078902,101079762,101079822,101082512,101090412,101091872,101092932,101093592,101100952,101102592,101103972,101111242,101114232,101116722,101118372,101120972,101121853,101137572,101203612,101204992,101205432,101205862,101207662,101209562,101210842,101211792,101255252,102575174,102598324,103155792,103156332,103163712,103164242,103165852,103169252,103174162,103179852,103181002,103188852,103192312,103199762,103200802,103201052,103255812,103665624,104021245,104432733,104599612,104628522,104757452,104961772,105091171,105215821,105347311,105396352,105571332,105861722,105917901,105962391,106005781,106111021,106469651,645955133,69846414,98448433,99006678"
323	0.110759173	Anaemia	[PEGASYS] [REBETOL]	12	31.5789	REBETOL	39	21.1957	PEGASYS	86	17.3737	"101904183,104227272,104254882,104331132,105060071,105103591,105170881,105170892,105380422,105585665,105776721,105814131,106375983,90924389"
324	0.110540149	Druginteraction	[DIGOXIN] [WARFARIN]	10	16.9492	WARFARIN	33	3.6626	DIGOXIN	19	4.77387	"105079171,105666881,105716031,105753401,105894931,106012861,106102501,106252781,106308281,106368611,106417331,106462951,106484751,106526091,106528811"
327	0.109076334	Acute kidney injury	[FUROSEMIDE] [RAMIPRIL]	10	16.6667	RAMIPRIL	45	5.39568	FUROSEMIDE	66	5.63621	"103681534,104974242,104979851,105006981,105882841,105910361,105970891,105974711,106005631,106026582,106027191,106027421,106028052,106028281,106055791,106062202,106063131,106063231,106073691,106076592,106076821,106086801,106137381"
329	0.108200842	"Impairedworkability,Pain"	[ANDROGEL] [TESTIM]	15	33.3333	TESTIM	19	21.1111	ANDROGEL	79	22.9651	"105048371,105050211,105252511,105522332,105541971,105584331,105617391,105777111,105835511,106204001,106382991,106409241,106435411,106638851,106718401,106723591,106836021"
330	0.107437911	Myocardial infarction	[METOPROLOL] [NITROGLYCERIN]	25	51.0204	NITROGLYCERIN	119	43.75	METOPROLOL	143	14.0196	"101046662,101046692,101065572,101069792,101071592,101072032,101076382,101077722,101078312,101079532,101079932,101081002,101090252,101094212,101098892,101099402,101104662,101107762,101109022,101109662,101117892,101118272,101140002,101141642,101170922,101185772,101192192,101207242,101209382,101211862,101255002,101257322,103168812,105230851,105385402,105394432,105394572,106017211,106559371,79094892,98344283"
332	0.107405402	Cardiac failure congestive	[ASPIRIN] [COUMADIN]	14	18.6667	ASPIRIN	180	6.03217	COUMADIN	42	3.88529	"101041782,101100952,101111242,101116722,101121662,101207662,103155792,103163712,103169252,103178992,103188852,103254312,104856342,105115801,105305562,105484291,106409482,645955133"
334	0.107065824	Asthma	[ADVAIRHFA] [SINGULAIR]	10	22.2222	ADVAIRHFA	42	7.26644	SINGULAIR	32	10.7023	"100405012,100429972,100431802,100556592,100854632,102271663,103650772,104288872,104561842,104931162,105385702,105431291,105545721,105657221,105696682,106090191,106446841,69842844,707575740,716463022,82082522,82612747,92917317,93922912,947850211,95886665,97218977,98166755,98542437"
335	0.10705065	Nausea	[PEGASYS] [SOVALDI]	10	19.6078	SOVALDI	48	7.6555	PEGASYS	26	5.25253	"104489982,104905521,105165401,105167361,105172821,105473472,106178691,106818711"
337	0.106798416	Anaemia	[RIBAVIRIN] [PEGINTRON]	52	35.6164	RIBAVIRIN	180	18.6722	PEGINTRON	73	26.6423	"102410694,102413934,102478853,102543854,102650774,102905054,102905064,102905094,103012965,103132054,103330614,103332463,103570144,103678473,103706323,103820643,103859172,103867902,103886404,103893013,103922263,104030853,104080404,104088864,104198002,104225602,104280613,104300153,104334692,104493594,104493634,104524522,104600362,104629822,104656172,104658662,104663483,104681042,104752562,104768543,104804712,104938603,104960431,104963062,105028022,105029551,105040392,105045182,105094441,105114361,105123602,105326802,105331321,105414932,105431283,105560213,105578202,105581762,105586012,105695501,105724462,105954391,105998651,106022282,106115371,106131391,106132631,106136501,106267451,106270431,106276311,106403621,106407771,106454561,106478891,106500442,106609501,106699581,97019642,97020013"
338	0.106390958	Cerebro vascular accident	[ANDROGEL] [TESTIM]	16	35.5556	ANDROGEL	63	18.314	TESTIM	24	26.6667	"105156071,105299011,105522332,105541971,105584331,105617391,105777111,105802921,105835511,105835851,105836471,106198651,106261981,106383141,106718401,106778111"
341	0.105462123	"Drug resistance, Genotype drug resistance test, Viral infection"	[LAMIVUDINE] [Adefovir]	17	85	LAMIVUDINE	29	15.1042	Adefovir	17	85	"105855452,105855492,105855502,105855522,105855592,105867932,105868072,105887252,105887262,105887282,105887292,105887572,105887632,105895211,105923291,105923401,105923441,105923471,105923611,105923691,105954491,105954531,105954551,105954581,105954851,105955681,105994582,105994952,105995132,105995142,106186061,106188911,106188951,106188971"
343	0.10533448	Posteriorreversibleencephalopathysyndrome	[ETOPOSIDE] [DEXAMETHASONE]	26	32.5	DEXAMETHASONE	32	2.00627	ETOPOSIDE	35	8.39329	"106317631,106317661,106420651,106420671,106420681,106420691,106528871,106528891,106528901,106528911,106528941,106528951,106540561,106540651,106583891,106594581,106602501,106602611,106602621,106602941,106602971,106611781,106611851,106612151,106612231,106613551,106613711,106616091,106616231,106616521"
348	0.104315655	Chronic obstructive pulmonary disease	[SPIRIVA] [ADVAIRHFA]	21	20	ADVAIRHFA	50	8.65052	SPIRIVA	66	9.48276	"102371473,102770313,102820132,102932793,103142432,104789462,104879511,104893823,104901583,104959601,104981481,105013722,105017551,105091171,105121072,105257961,105260362,105280412,105285891,105614361,105616701,105710393,105721172,106228482,106228991,106406832,106473701,106494532,106599971,106600271,106683071,85372486,85668692,89116262,899215213,94130163,99960694"
349	0.104108582	Myocardial infarction	[ASPIRIN] [NORVASC]	27	27	NORVASC	49	8.70337	ASPIRIN	474	15.8847	"101029142,101042272,101062352,101068182,101070232,101078302,101078622,101079652,101080762,101081002,101090282,101091872,101095152,101095712,101095932,101096602,101103232,101103342,101104082,101106782,101108142,101115182,101115452,101117892,101118512,101121853,101121902,101168642,101189252,101200752,101204662,101206382,101253142,101254282,101257322,102598324,103627353,104586093,105111911,105394432,105400061,105518331,105541362,106806951,69541834,96700003,99150622"
351	0.10304121	Toxicity to various agents	[ETOPOSIDE] [SORAFENIB]	11	68.75	SORAFENIB	14	42.4242	ETOPOSIDE	23	5.51559	"106872241,106872291,106872541,106872671,106873201,106873281,106873581,106874211,106874431,106875531,106876751"
352	0.102780992	Cardiac failure congestive	[COREG] [AVANDIA]	41	31.0606	COREG	51	18.3453	AVANDIA	1052	21.4694	"101027212,101039932,101055812,101056852,101060402,101066592,101066652,101074832,101079402,101080532,101082512,101090912,101091872,101095282,101096792,101104132,101107032,101107882,101108842,101111662,101116722,101118372,101119592,101185972,101255252,103164242,103165582,103165852,103165882,103167052,103172962,103177992,103180612,103194072,103200342,103254312,104980272,105337452,105347062,105394802,105567022,105568662"
353	0.102730305	Pyrexia	[RIBAVIRIN] [PEGINTRON]	49	33.5616	PEGINTRON	60	21.8978	RIBAVIRIN	82	8.50622	"1006711213,102413934,102543854,102650774,102733293,102905054,102905064,102990292,103068373,103295194,103570144,103678473,103893013,104014662,104198002,104406282,104479572,104493594,104620732,104629822,104656382,104677512,104760952,104768543,104794222,104804242,104804273,104804712,104938603,104963062,105032661,105045182,105063302,105123602,105146872,105234522,105238593,105321942,105331321,105560213,105724462,106002061,106022282,106115451,106132631,106136501,106270431,106394461,106403621,106407771,106420021,106447751,106454561,106500442,106609501"
354	0.102723583	Unevaluableevent	[POMALYST] [DEXAMETHASONE]	10	16.3934	POMALYST	16	5.22876	DEXAMETHASONE	93	5.83072	"105417851,105701751,105722531,105787021,105791971,105825491,106197241,106412161,106465371,106746401,106861611"
356	0.102602452	Platelet count decreased	[RIBAVIRIN] [SOVRIAD]	41	43.617	RIBAVIRIN	119	12.3444	SOVRIAD	54	35.2941	"102413934,102452824,102644393,102650774,102844105,102905064,103012965,103295194,103318095,103400693,103483353,103499003,103570144,103647723,103673414,103804654,103957534,104013632,104280613,104343352,104353412,104406282,104423492,104455472,104468152,104493594,104587413,104620732,104804242,104804273,104879443,104902742,104954012,104955672,105063302,105094441,105146852,105146862,105146872,105163232,105331321,105406411,105431162,105705482,105705491,105717522,105954391,106022282,106115481,106118671,106274822,106380602,106407771,106721541"
357	0.102353157	Myocardial infarction	[PLAVIX] [NORVASC]	19	30.1587	NORVASC	49	8.70337	PLAVIX	313	19.0158	"101029142,101070232,101078302,101081002,101090282,101095152,101095932,101103232,101103342,101104082,101108142,101115452,101117892,101118512,101189252,101200752,101202722,101257322,103608252,104586093,105394432,106473902,106806951,69541834,96700003"
358	0.101371442	Fatigue	[PEGASYS] [SOVALDI]	10	19.6078	PEGASYS	30	6.06061	SOVALDI	54	8.61244	"102086763,105105382,105165341,105165401,105165601,105166651,105168911,105169141,105169891,105173031,105173201,105729511,105809411,106425195,697838510"
359	0.101075359	Generalphysicalhealthdeterioration	[Bevacizumab] [CARBOPLATIN]	11	24.4444	CARBOPLATIN	18	3.27869	Bevacizumab	26	8.69565	"100520808,102275204,103892722,104604656,105237511,105472713,105484131,105647242,105672901,105977801,106449782,97385274"
360	0.101061097	White blood cell count decreased	[RIBAVIRIN] [SIMEPREVIR]	48	34.7826	RIBAVIRIN	102	10.5809	SIMEPREVIR	55	25	"102543854,103013064,103098614,103132054,103330614,103557972,103672403,103678473,103700753,103893013,103922263,104198002,104289613,104326223,104353392,104629822,104636962,104884003,104938603,104963062,105032661,105114361,105123602,105150532,105261641,105294552,105326641,105414932,105424492,105560213,105560521,105581762,105674802,105695501,105724462,105724791,105728511,105804621,105890282,105923752,105945862,105950571,105972721,106057071,106136501,106214761,106256061,106273811,106394461,106699581"
361	0.101055576	Rash	[RIBAVIRIN] [Telaprevir]	11	35.4839	Telaprevir	15	25.4237	RIBAVIRIN	98	10.166	"100358963,100487063,102267593,103447732,104066633,104102992,104125362,104159803,104732275,104755074,104863582,104887691,104974251,105061021,105170241,105175111,105216441,105217461,105343354,105380411,105412952,105623203,105646841,105650371,106113201,106155211,106210452,106334761,106646861,106674792,106699372,106699641,106768931,89330315,94668828,95296198,981645511"
363	0.100005725	Neutropenia	[CYCLOPHOSPHAMIDE] [RITUXIMAB]	15	17.6471	RITUXIMAB	22	5.44554	CYCLOPHOSPHAMIDE	55	6.99746	"1018911111,102002907,102157643,102410208,102652194,103009722,103142043,103668615,103749523,103804003,104029793,104213037,104357942,104427894,104856491,104957171,104979681,104984511,105041391,105067691,105129353,105133311,105228042,105276971,105307581,105318632,105402201,105417895,105503352,105598452,105647061,105691001,105722971,105748871,105784761,105885201,105955791,106169301,106236923,106356511,106377931,106378451,106517711,106536242,106542281,106543811,106624311,106666781,106709001,106805332,106846981,106852151,79016513,84015732,84225814,84755103,85239782,86137562,86887422,89570084,89646706,91063964,93459848,95006463,95176052,97265985"
364	0.099604674	Cardiac failure congestive	[ROSIGLITAZONEMALEATE] [AVANDIA]	26	59.0909	ROSIGLITAZONEMALEATE	32	59.2593	AVANDIA	1052	21.4694	"105204292,105229022,105229422,105229742,105229772,105283452,105384982,105385402,105543202,105570872,105633582,105634272,105712991,105714792,105720811,105795241,105856391,105856472,105867491,105994111,105994211,105994921,106025121,106172121,106172871,106272141,106272431,83543462,84029902,86200872,87177552,93289502,94030694,94607672,94877313"
365	0.099423153	Myocardial infarction	[AMIODARONE] [AVANDIA]	24	57.1429	AVANDIA	2411	49.2041	AMIODARONE	25	11.1111	"101044232,101075982,101077742,101078052,101090282,101090412,101092932,101095802,101095952,101098322,101100942,101101812,101102492,101105322,101106242,101109752,101115392,101115542,101115832,101121853,101121902,101139772,101168962,101204532,101205942,101206462,101208202,101208982,101221642,101225692,101255002,103194902"
366	0.099228671	Death	[AVASTIN] [CARBOPLATIN]	10	20.8333	AVASTIN	54	9.04523	CARBOPLATIN	28	5.10018	"104719652,105014711,105546112,105952052,106032931,106446831,106448391,106783761,83545822,86174932,88005782,89192062"
367	0.099184496	Myocardial infarction	[ZESTRIL] [AVANDIA]	18	52.9412	AVANDIA	2411	49.2041	ZESTRIL	18	31.0345	"101027582,101045212,101070162,101077512,101077692,101078132,101079862,101096142,101101112,101101832,101104052,101104172,101106832,101113882,101114002,101115002,101115012,101131532,101207062,101207582,101212152,103157592"
368	0.098919569	Acute Myocardial infarction	[METOPROLOL] [AVANDIA]	37	17.2897	AVANDIA	285	5.81633	METOPROLOL	39	3.82353	"101039282,101054792,101055962,101062182,101069212,101069792,101072032,101078282,101079072,101079652,101082382,101093202,101093842,101095482,101095932,101098892,101099402,101105062,101106782,101109102,101109112,101109662,101116522,101118392,101120552,101120782,101142992,101186692,101189692,101201182,101205102,101205762,101238972,101241812,101247422,101249502,101255002,103168812,103198472,105385402"
370	0.09857587	Hyperkalaemia	[METFORMIN] [SPIRONOLACTONE]	11	34.375	METFORMIN	19	1.12426	SPIRONOLACTONE	22	5.91398	"100824062,105723241,105750331,105774761,105778321,105892451,105897961,105903241,105917271,105932341,106249021,106250931,106859091"
371	0.097907779	Gastro intestinal haemorrhage	[ASPIRIN] [PRADAXA]	12	19.3548	ASPIRIN	108	3.6193	PRADAXA	62	6.82819	"103724542,104170682,104431372,104431582,104431592,104481792,104564102,104590722,104599612,104599693,104599712,104624524,104624612,104628112,104628132,104628462,104628513,104628522,104644962,104646252,104654773,104675392,104732552,104742652,104757452,104872212,104877561,104877611,104880361,104903411,104903841,104907871,104962211,105029451,105056491,105056542,105111911,105115681,105115801,105145722,105146211,105146221,105290462,105291131,105291481,105389011,105414001,105414891,105416401,105499032,105557622,105643521,105693152,105715413,105716192,105968481,105968491,105985361,106086961,106118192,78558515,93020292"
372	0.097678374	Dizziness	[AMLODIPINE] [SIMVASTATIN]	22	14.7651	AMLODIPINE	62	4.49275	SIMVASTATIN	94	4.81064	"102141352,104019795,104744324,105132841,105236762,106159851,106180621,106181381,106181561,106191911,106236731,106366101,106391651,106416142,106438731,106441191,106442831,106454111,106460751,106550522,106566421,106568281,106613631,106616392,106680831,106682941,106699351,106734461,106735081,106735351,106761161,106769531,96182084"
374	0.096740173	Acute kidney injury	[OMEPRAZOLE] [COCODAMOL]	19	39.5833	COCODAMOL	31	15.3465	OMEPRAZOLE	50	2.89687	"105138291,105253732,105661531,105738921,105750161,105778211,105799891,105802241,105818101,105895131,105895521,105903281,105930071,105939931,105947311,105973201,105978731,106002361,106005711,106027432,106053701,106055771,106068231,106073641,106086591,106086601,106086811,106111321,106135611"
375	0.096423511	Dyspnoea	[REVATIO] [TRACLEER]	16	23.8806	REVATIO	147	14.4543	TRACLEER	102	11.039	"103592914,103787824,104570258,104630893,104642014,104893052,104938863,1049586314,105050062,105128426,105291223,105348487,105388572,105496912,105501873,105708943,105904591,105966024,106164161,106226482,106265573,106406832,106415763,106416282,106427903,106532433,779763611,906234021,916120812,949275613,952990613"
