Rank	Score	No_of_Drugs	ADR	intr_drugs	Support	Confidence	Drug1	Support1	Confidence1	Drug2	Support2	Confidence2	id
1193	0.017975884	2	[Death]	[TRACLEER] [TYVASO]	17	15.7407	TRACLEER	143	15.4762	TYVASO	100	11.8624	"10,421,464,310,526,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1195	0.017914438	2	[Myocardialinfarction] [Coronaryarterydisease]	[ASPIRIN] [AVANDIA]	91	10.6184	ASPIRIN	94	3.15013	AVANDIA	509	10.3878	"101039442,101042602,101051932,101059272,101061102,101063472,101067482,101070242,101075512,101075722,101076982,101079282,101079702,101080192,101082562,101084312,101093002,101094102,101095122,101096132,101098002,101101432,101103592,101107332,101114442,101118562,101118822,101127472,101171632,101171752,101172002,101185252,101205262,101212262,101212562,101212662,101224442,101265592,103158852,103167212"
1197	0.017864717	2	[Peripheralswelling]	[ENBREL] [METHOTREXATE]	12	4.87805	ENBREL	80	2.86944	METHOTREXATE	22	1.37672	"100547972,100556087,101484034,101686964,102006855,102119022,102127843,102177623,102489392,102607443,103468262,103834164,103892254,104011465,104088633,104147723,104288293,104352432,104406003,104433494,104466293,104609253,104800162,104802382,104881151,104927191,104938251,104942881,104946773,104969421,104976181,105013831,105015003,105020771,105033781,105070321,105086531,105095521,105099751,105104421,105107032,105125881,105127396,105127841,105134471,105150771,105150901,105153101,105153321,105156722,105159742,105159752,105179472,105182232,105209421,105234711,105235101,105237601,105237853,105239721,105245091,105245551,105262333,105264682,105272122,105322392,105322411,105322821,105323061,105323211,105323261,105327802,105332661,105347581,105381651,105392691,105397152,105403682,105414353,105438161,105472383,105472592,105472651,105472801,105472961,105473162,105473172,105473412,105477581,105507691,105507711,105509821,105531541,105561691,105561752,105567571,105568191,105571261,105594141,105594562,105596752,105618301,105623841,105648091,105648211,105648702,105672851,105673322,105696562,105698602,105698691,105698851,105724282,105725061,105746381,105748961,105750551,105752191,105779001,105780751,105780932,105784041,105810282,105812031,105825171,105890721,105892161,105892172,105892731,105903621,105931301,105973341,106003621,106003741,106003982,106009082,106033461,106057401,106058242,106090111,106090942,106092902,106093842,106094431,106131041,106131852,106132901,106147412,106147552,106147601,106250031,106275281,106367242,106370031,106370121,106370561,106393281,106393371,106396341,106397801,106431122,106439781,106440091,106447262,106457343,106477681,106478102,106478751,106483561,106493471,106508521,106508552,106509071,106514291,106535091,106566471,106583561,106594881,106607412,106607632,106609341,106610771,106614241,106624351,106634861,106634981,106636301,106636632,106637711,106655431,106655521,106672621,106673141,106685292,106699481,106714091,106720351,106731891,106735191,106737081,106757051,106764801,106801641,106819041,106831811,61634545,82347255,82645264,88683722,88822514,91823032,95680323,95912033,96686623,96732505,99521152"
1199	0.017751986	2	[Oropharyngealpain]	[ADCIRCA] [TYVASO]	10	3.80228	ADCIRCA	12	1.05448	TYVASO	15	1.77936	"102133354,102519472,102836442,102844022,103144832,103400383,104403776,104403783,104831202,104882142,104882272,104967651,105033361,105033402,105098911,105235693,105294811,105329551,105374462,105427202,105506832,105562381,105642572,105738721,105814851,105883203,105893082,105953452,105990002,106336391,106387512,106401311,106528611,106639712,106818942"
1200	0.017730096	2	[Myocardialinfarction] [Cardiacfailurecongestive]	[PLAVIX] [ASPIRIN]	22	3.94265	PLAVIX	31	1.88335	ASPIRIN	65	2.17828	"100799992,100800552,100809182,100810752,101690842,101690892,101691022,101691972,101715922,101731642,102384882,102414862,102916632,102984592,102984922,102991132,102994342,103929543,104572842,104860272,104867232,105079451,105251301,105277561,105304461,105661161,105875721,105927801,105933891,106105692,106221901,106336241,106556971,106802491,106802501,106802521,106802531,106802541,106802551,106802561,106802571,106802611,106802621,106802631,106802641,106802651,106802671,106802691,106802701,106802711,106802741,106802751,106802771,106802781,106802791,106802801,106802811,106802821,106802831,106802841,106802861,106802881,106802891,106802901,106802921,106802941,106803541,106803621,106803661,106803671,106803681,106803691,106803701,106803711,106803721,106803731,106803741,106803751,106803761,106803771,106803781,106803791,106803801,106803811,106803821,106803831,106803851,106803861,106803871,106803881,106803891,106803901,106803911,106803921,106803931,106803941,106803951,106803961,106803971,106803981,106803991,106804011,106804041,106804051,106804061,106804071,106804081,106804101,106804111,106804121,106804131,106804171,106804311,106804321,106804331,106804341,106804351,106804361,106804371,106804381,106804391,106804401,106804411,106804421,106804431,106804441,106804451,106804461,106804471,106804481,106804491,106804501,106804511,106804521,106804531,106804541,106804551,106804561,106804581,106804601,106804611,106804631,106804641,106804651,106804661,106804671,106804681,106804691,106804701,106804741,106804751,106804761,106804771,106804781,106804791,106804811,106804911,106804921,106804931,106804941,106804951,106804961,106804971,106804981,106804991,106805001,106805011,106805021,106805031,106805041,106805051,106805061,106805071,106805081,106805091,106805101,106805121,106805141,106805151,106805161,106805171,106805181,106805191,106805211,106805241,106805251,106805261,106805271,106805591,106805761,106805771,106805791,106805891,106805931,106806611,106806901,106807422,106807432,106807442,106807452,106807462,106807522,81725853,83434523,84474873,85400003,90567712,90567892,90888102,90890162,90895332,90933222,91616062,91667302,97061283,97061293,97061313,97061323,97061353,97061373,97061403,97061423,97061443,97061453,97061463,97061473,97061493,97061503,97061523,97061563,97061573,97061583,97061593,97061603,98094633,98094673,98094683,98094693,98094733,98094743,98094753,98094763,98094783,98094793,98094803,98094813,98094843,98094883,98094913,98094923,98094943,98094953,98094973,98094983,98095013,98095023,98095073,98095083,98095103,98095113,98095133,98095173,98095203,98095263,98095283,98095313,98095323,98095333,98095343,98095393,98095423,98095433,98095453,98095463,98095473,98095483,98095513,98095533,98095543,98095593,98095603,98095613,98095633,98095643,98095683,98095693,98095713,98095743,98095773,98095793,98095813,98095823,98095833,98095863,98095873,98095893,98095903,98095923,98095933,98095953,98095962,98095973,98096002,98096013,98096023,98096033,98096053,98096083,98096093,98096113,98096153,98096183,98096233,98096263,98096273,98096313,98096343,98096353,98096373,98096403,98096453,98096463,98096473,98096493,98096523,98096533,98096542,98096563,98096593,98096613,98096622,98096633,98096673,98096693,98096733,98096743,98096753,98096773,98096783,98096803,98096813,98096853,98096923,98096943,98096953,98097003,98097013,98097063,98097093,98097123,98097143,98097163,98097183,98097193,98097213,98097263,98097303,98097343,98097353,98097383,98097413,98097443,98097463,98097473,98097533,98097623,98097633,98097643,98097653,98097673,98097683,98097753,98097803,98097813,98097823,98097883,98099532,98099562,98099592,98099622,98099652,98099682,98099712,98099832,98100012,98100122,98100182,98100212,98100332,98100372,98100472,98100512,98100552,98100592,98100622,98100662,98101902,98101932,98101962,98102022,98102052,98102092,98102132,98102172,98102212,98102252,98102332,98102442,98102452,98102482,98102492,98102532,98103322,98103342,98103382,98103392,98103402,98103412,98103422,98103432,98103502,98103582,98103912,98103972,98104742,98104892,98104952,98104972,98105122,98105152,98105222,98105262,98105342,98105422,98105542,98105742,98105792,98105832,98105912,98106112,98106192,98106413,98106453,98106603,98106713,98106752,98106803,98107003,98107033,98107663,98107733,98107773,98107833,98107863,98108043,98108083,98108243,98108283,98109513,98109553,98109633,98109793,98110022,98110082,98110112,98110142,98110202,98110233,98110263,98110323,98110353,98110383,98110672,98110692,98110702,98110722,98110772,98110782,98110802,98110812,98110822,98110832,98110842,98110852,98110952,98110992,98111022,98111062,98111152,98111192,98111222,98111282,98111512,98111542,98111602,98111672,98111842,98111882,98111952,98112012,98112082,98112272,98112412,98112622,98113452,98115212,98115352,98115402,98115462,98115492,98115522,98115902,98115932,98115962,98116132,98116792,98116822,98116882,98116932,98116942,98116972,98116982,98117032,98117072,98117092,98117102,98117172,98117182,98117232,98117262,98117292,98117312,98117332,98117362,98117382,98117442,98117502,98117562,98117592,98118032,98118042,98118052,98118062,98118072,98118082,98118102,98118182,98118192,98118242,98118262,98118282,98118292,98118872,98118892,98118912,98118932,98118952,98118972,98118992,98119092,98119132,98119162,98119342,98119362,98119442,98119502,98119522,98187833"
1202	0.017715771	2	[Cardiacfailurecongestive]	[ATENOLOL] [AVANDIA]	23	19.3277	ATENOLOL	24	3.08483	AVANDIA	1052	21.4694	"101,072,472,101,082,000,000,000,000,000,000,000"
1208	0.017440034	2	[Acutemyocardialinfarction]	[NORVASC] [AVANDIA]	10	7.35294	AVANDIA	285	5.81633	NORVASC	11	1.95382	"101,074,602,101,222,000"
1209	0.017243892	2	[Pulmonaryarterialhypertension]	[LETAIRIS] [COUMADIN]	10	3.84615	COUMADIN	22	2.03515	LETAIRIS	72	2.12892	"101386452,101434213,102512333,102824612,104254663,104313132,104761702,105094181,105148252,105557921,105558331,105612072,105886641,105967151,105998961,106023081,106166041,106228231,106235451,106281262,106282951,106444941,106570741,106650171,106814931,106815941"
1211	0.017173002	2	[Chestpain]	[METOPROLOL] [AVANDIA]	10	4.6729	METOPROLOL	19	1.86275	AVANDIA	147	3	"101,051,962,101,109,000,000,000,000,000,000,000"
1213	0.016913009	2	[Malaise]	[ENBREL] [METHOTREXATE]	12	4.87805	METHOTREXATE	43	2.69086	ENBREL	92	3.29986	"100547972,100556087,101484034,101686964,102006855,102119022,102127843,102177623,102489392,102607443,103468262,103834164,103892254,104011465,104088633,104147723,104288293,104352432,104406003,104433494,104466293,104609253,104800162,104802382,104881151,104927191,104938251,104942881,104946773,104969421,104976181,105013831,105015003,105020771,105033781,105070321,105086531,105095521,105099751,105104421,105107032,105125881,105127396,105127841,105134471,105150771,105150901,105153101,105153321,105156722,105159742,105159752,105179472,105182232,105209421,105234711,105235101,105237601,105237853,105239721,105245091,105245551,105262333,105264682,105272122,105322392,105322411,105322821,105323061,105323211,105323261,105327802,105332661,105347581,105381651,105392691,105397152,105403682,105414353,105438161,105472383,105472592,105472651,105472801,105472961,105473162,105473172,105473412,105477581,105507691,105507711,105509821,105531541,105561691,105561752,105567571,105568191,105571261,105594141,105594562,105596752,105618301,105623841,105648091,105648211,105648702,105672851,105673322,105696562,105698602,105698691,105698851,105724282,105725061,105746381,105748961,105750551,105752191,105779001,105780751,105780932,105784041,105810282,105812031,105825171,105890721,105892161,105892172,105892731,105903621,105931301,105973341,106003621,106003741,106003982,106009082,106033461,106057401,106058242,106090111,106090942,106092902,106093842,106094431,106131041,106131852,106132901,106147412,106147552,106147601,106250031,106275281,106367242,106370031,106370121,106370561,106393281,106393371,106396341,106397801,106431122,106439781,106440091,106447262,106457343,106477681,106478102,106478751,106483561,106493471,106508521,106508552,106509071,106514291,106535091,106566471,106583561,106594881,106607412,106607632,106609341,106610771,106614241,106624351,106634861,106634981,106636301,106636632,106637711,106655431,106655521,106672621,106673141,106685292,106699481,106714091,106720351,106731891,106735191,106737081,106757051,106764801,106801641,106819041,106831811,61634545,82347255,82645264,88683722,88822514,91823032,95680323,95912033,96686623,96732505,99521152"
1216	0.0168499	2	[Rheumatoidarthritis]	[METHOTREXATE] [HUMIRA]	22	5.96206	HUMIRA	65	2.07535	METHOTREXATE	72	4.50563	"100607504,100738082,101999752,102509663,103667402,103667672,103698802,103753422,103909672,104119512,104211232,104501942,104744332,104847092,104948571,105066121,105075222,105096261,105142611,105143411,105143991,105189821,105200541,105224582,105315472,105322561,105399861,105510401,105582981,105588561,105610211,105669022,105672692,105686411,105735932,105741862,105745821,105776832,105776901,105863863,105930721,105943952,105995901,105998251,106018491,106022321,106077723,106091762,106138401,106162731,106168811,106175001,106194122,106199391,106264741,106268002,106268381,106269621,106316051,106357471,106362331,106439071,106442121,106495052,106503331,106525982,106594012,106597122,106639932,106640351,106677272,106723682,97401845,97801654,98798573"
1217	0.016783907	2	[Pain] [Injury]	[ANDROGEL] [TESTIM]	16	35.5556	ANDROGEL	151	43.8953	TESTIM	20	22.2222	"104976011,105048371,105050211,105156071,105156171,105299011,105522332,105540311,105541971,105617391,105664731,105669571,105777111,105835511,105835691,105835851,105836131,105927681,106058911,106198651,106204001,106382991,106383141,106409241,106428071,106446071,106638821,106638851,106638911,106718401,106720591,106723591,106778111,106836021"
1219	0.016659053	2	[Headache]	[RIBAVIRIN] [PEGINTRON]	10	6.84932	RIBAVIRIN	52	5.39419	PEGINTRON	13	4.74453	105187811
1222	0.01652463	2	[Myocardialinfarction] [Cardiacfailurecongestive]	[LISINOPRIL] [AVANDIA]	33	9.73451	AVANDIA	440	8.97959	LISINOPRIL	33	2.2541	"101,024,642,101,064,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1223	0.016522203	2	[Psoriaticarthropathy]	[ENBREL] [METHOTREXATE]	11	4.47154	ENBREL	68	2.43902	METHOTREXATE	17	1.06383	"100547972,100556087,101484034,101686964,102006855,102119022,102127843,102177623,102489392,102607443,103468262,103834164,103892254,104011465,104088633,104147723,104288293,104352432,104406003,104433494,104466293,104609253,104800162,104802382,104881151,104927191,104938251,104942881,104946773,104969421,104976181,105013831,105015003,105020771,105033781,105070321,105086531,105095521,105099751,105104421,105107032,105125881,105127396,105127841,105134471,105150771,105150901,105153101,105153321,105156722,105159742,105159752,105179472,105182232,105209421,105234711,105235101,105237601,105237853,105239721,105245091,105245551,105262333,105264682,105272122,105322392,105322411,105322821,105323061,105323211,105323261,105327802,105332661,105347581,105381651,105392691,105397152,105403682,105414353,105438161,105472383,105472592,105472651,105472801,105472961,105473162,105473172,105473412,105477581,105507691,105507711,105509821,105531541,105561691,105561752,105567571,105568191,105571261,105594141,105594562,105596752,105618301,105623841,105648091,105648211,105648702,105672851,105673322,105696562,105698602,105698691,105698851,105724282,105725061,105746381,105748961,105750551,105752191,105779001,105780751,105780932,105784041,105810282,105812031,105825171,105890721,105892161,105892172,105892731,105903621,105931301,105973341,106003621,106003741,106003982,106009082,106033461,106057401,106058242,106090111,106090942,106092902,106093842,106094431,106131041,106131852,106132901,106147412,106147552,106147601,106250031,106275281,106367242,106370031,106370121,106370561,106393281,106393371,106396341,106397801,106431122,106439781,106440091,106447262,106457343,106477681,106478102,106478751,106483561,106493471,106508521,106508552,106509071,106514291,106535091,106566471,106583561,106594881,106607412,106607632,106609341,106610771,106614241,106624351,106634861,106634981,106636301,106636632,106637711,106655431,106655521,106672621,106673141,106685292,106699481,106714091,106720351,106731891,106735191,106737081,106757051,106764801,106801641,106819041,106831811,61634545,82347255,82645264,88683722,88822514,91823032,95680323,95912033,96686623,96732505,99521152"
1224	0.016460706	2	[Jointswelling]	[METHOTREXATE] [HUMIRA]	12	3.25203	HUMIRA	40	1.27714	METHOTREXATE	25	1.56446	"100607504,100738082,101999752,102509663,103667402,103667672,103698802,103753422,103909672,104119512,104211232,104501942,104744332,104847092,104948571,105066121,105075222,105096261,105142611,105143411,105143991,105189821,105200541,105224582,105315472,105322561,105399861,105510401,105582981,105588561,105610211,105669022,105672692,105686411,105735932,105741862,105745821,105776832,105776901,105863863,105930721,105943952,105995901,105998251,106018491,106022321,106077723,106091762,106138401,106162731,106168811,106175001,106194122,106199391,106264741,106268002,106268381,106269621,106316051,106357471,106362331,106439071,106442121,106495052,106503331,106525982,106594012,106597122,106639932,106640351,106677272,106723682,97401845,97801654,98798573"
1226	0.016245653	2	[Dizziness]	[RIBAVIRIN] [SOVALDI]	10	4.65116	RIBAVIRIN	13	1.34855	SOVALDI	18	2.87081	"100961442,101534433,102566372,104673412,104825982,104879695,104990273,105006591,105006692,105015341,105031452,105055601,105143813,105143823,105159951,105159961,105159991,105160051,105160071,105160191,105164911,105165421,105206191,105289321,105303991,105317751,105371111,105392271,105392454,105585581,105616212,105644662,105671111,105720623,105803461,105803562,105859321,105859341,105859352,105928821,105943811,105964171,106177661,106236683,106265711,106269821,106270731,106271291,106352311,106363171,106436951,106477372,106477541,106551732,106654791,106667541,106716701,106727991,106837161"
1227	0.015924318	2	[Arthralgia]	[METHOTREXATE] [PREDNISONE]	13	5.62771	PREDNISONE	47	2.66591	METHOTREXATE	70	4.38048	105917131
1229	0.015839282	2	[Dyspnoea]	[REVATIO] [TYVASO]	30	16.5746	TYVASO	130	15.4211	REVATIO	147	14.4543	"102243502,102728323,103770693,103981302,104323343,104463113,104606063,104857351,104882292,104967703,105099022,105128513,105128532,105179012,105329672,105374553,105506882,105532641,105719282,105755743,105788622,105885035,105887702,105974961,106024393,106204971,106559001,106600151,106679821,106679872,106752392"
1234	0.015598255	2	[Fall]	[HUMALOG] [LANTUS]	14	6.73077	HUMALOG	34	5.81197	LANTUS	41	3.49829	"101793767,102415133,102571742,103018714,103313192,103486572,103532462,103682522,103710652,103903612,104017902,104199802,104253672,104618852,104729183,104744723,104764352,104787932,104874031,104897361,104949743,104973171,104973832,104977363,105164061,105217732,105249721,105272841,105287461,105287631,105301761,105317111,105317191,105378121,105408571,105421711,105421762,105424161,105442551,105500962,105513501,105514051,105528771,105554672,105555461,105602021,105661371,105680031,105688931,105702502,105706491,105736181,105775383,105775401,105899642,105899691,105912842,105914601,105997411,105997441,105997491,105997521,106013261,106025661,106064511,106096721,106117521,106154341,106203512,106219891,106236261,106260921,106377391,106381931,106417891,106561091,106691731,106704521,106704541,106753841,106825621,87608455,94066162,96311944"
1235	0.015523491	2	[Drugdoseomission]	[HUMALOG] [LANTUS]	12	5.76923	LANTUS	34	2.90102	HUMALOG	27	4.61538	"101793767,102415133,102571742,103018714,103313192,103486572,103532462,103682522,103710652,103903612,104017902,104199802,104253672,104618852,104729183,104744723,104764352,104787932,104874031,104897361,104949743,104973171,104973832,104977363,105164061,105217732,105249721,105272841,105287461,105287631,105301761,105317111,105317191,105378121,105408571,105421711,105421762,105424161,105442551,105500962,105513501,105514051,105528771,105554672,105555461,105602021,105661371,105680031,105688931,105702502,105706491,105736181,105775383,105775401,105899642,105899691,105912842,105914601,105997411,105997441,105997491,105997521,106013261,106025661,106064511,106096721,106117521,106154341,106203512,106219891,106236261,106260921,106377391,106381931,106417891,106561091,106691731,106704521,106704541,106753841,106825621,87608455,94066162,96311944"
1236	0.015429576	2	[Dyspnoea]	[REMODULIN] [WARFARIN]	12	13.7931	WARFARIN	84	9.32297	REMODULIN	136	14.346	"100,671,612,104,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1237	0.015405328	2	[Pruritus]	[COPEGUS] [PEGASYS]	15	8.37989	COPEGUS	15	7.61421	PEGASYS	27	5.45455	"100,942,542,102,267,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1238	0.01538389	2	[Coronaryarterydisease]	[ZOCOR] [AVANDIA]	10	15.3846	AVANDIA	904	18.449	ZOCOR	10	4.56621	"101,038,392,101,107,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1239	0.015379261	2	[Myocardialinfarction]	[COUMADIN] [AVANDIA]	29	37.6623	AVANDIA	2411	49.2041	COUMADIN	39	3.60777	"101,074,812,101,075,000,000,000,000,000,000,000,000,000,000"
1240	0.015332694	2	[Myocardialinfarction] [Coronaryarterydisease]	[PLAVIX] [AVANDIA]	50	10.101	PLAVIX	50	3.03767	AVANDIA	509	10.3878	"101061662,101071822,101074532,101076902,101080152,101093042,101093262,101094512,101094542,101096252,101097232,101097672,101106182,101115912,101116972,101132152,101136332,101172162,101194632,101199622,101205442,101205552,101212422,101232182,101240452,103166312"
1241	0.015327556	2	[Chestpain]	[LISINOPRIL] [AVANDIA]	15	4.42478	LISINOPRIL	28	1.91257	AVANDIA	147	3	"101,024,642,101,064,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1242	0.015256308	2	[Coronaryarterybypass]	[ASPIRIN] [AVANDIA]	39	4.55076	ASPIRIN	41	1.37399	AVANDIA	144	2.93878	"101039442,101042602,101051932,101059272,101061102,101063472,101067482,101070242,101075512,101075722,101076982,101079282,101079702,101080192,101082562,101084312,101093002,101094102,101095122,101096132,101098002,101101432,101103592,101107332,101114442,101118562,101118822,101127472,101171632,101171752,101172002,101185252,101205262,101212262,101212562,101212662,101224442,101265592,103158852,103167212"
1243	0.015210993	2	[Fatigue]	[ENBREL] [METHOTREXATE]	11	4.47154	METHOTREXATE	41	2.56571	ENBREL	85	3.04878	"100547972,100556087,101484034,101686964,102006855,102119022,102127843,102177623,102489392,102607443,103468262,103834164,103892254,104011465,104088633,104147723,104288293,104352432,104406003,104433494,104466293,104609253,104800162,104802382,104881151,104927191,104938251,104942881,104946773,104969421,104976181,105013831,105015003,105020771,105033781,105070321,105086531,105095521,105099751,105104421,105107032,105125881,105127396,105127841,105134471,105150771,105150901,105153101,105153321,105156722,105159742,105159752,105179472,105182232,105209421,105234711,105235101,105237601,105237853,105239721,105245091,105245551,105262333,105264682,105272122,105322392,105322411,105322821,105323061,105323211,105323261,105327802,105332661,105347581,105381651,105392691,105397152,105403682,105414353,105438161,105472383,105472592,105472651,105472801,105472961,105473162,105473172,105473412,105477581,105507691,105507711,105509821,105531541,105561691,105561752,105567571,105568191,105571261,105594141,105594562,105596752,105618301,105623841,105648091,105648211,105648702,105672851,105673322,105696562,105698602,105698691,105698851,105724282,105725061,105746381,105748961,105750551,105752191,105779001,105780751,105780932,105784041,105810282,105812031,105825171,105890721,105892161,105892172,105892731,105903621,105931301,105973341,106003621,106003741,106003982,106009082,106033461,106057401,106058242,106090111,106090942,106092902,106093842,106094431,106131041,106131852,106132901,106147412,106147552,106147601,106250031,106275281,106367242,106370031,106370121,106370561,106393281,106393371,106396341,106397801,106431122,106439781,106440091,106447262,106457343,106477681,106478102,106478751,106483561,106493471,106508521,106508552,106509071,106514291,106535091,106566471,106583561,106594881,106607412,106607632,106609341,106610771,106614241,106624351,106634861,106634981,106636301,106636632,106637711,106655431,106655521,106672621,106673141,106685292,106699481,106714091,106720351,106731891,106735191,106737081,106757051,106764801,106801641,106819041,106831811,61634545,82347255,82645264,88683722,88822514,91823032,95680323,95912033,96686623,96732505,99521152"
1244	0.015208132	2	[Myocardialinfarction]	[HUMALOG] [LANTUS]	11	5.28846	LANTUS	39	3.32764	HUMALOG	23	3.93162	"101793767,102415133,102571742,103018714,103313192,103486572,103532462,103682522,103710652,103903612,104017902,104199802,104253672,104618852,104729183,104744723,104764352,104787932,104874031,104897361,104949743,104973171,104973832,104977363,105164061,105217732,105249721,105272841,105287461,105287631,105301761,105317111,105317191,105378121,105408571,105421711,105421762,105424161,105442551,105500962,105513501,105514051,105528771,105554672,105555461,105602021,105661371,105680031,105688931,105702502,105706491,105736181,105775383,105775401,105899642,105899691,105912842,105914601,105997411,105997441,105997491,105997521,106013261,106025661,106064511,106096721,106117521,106154341,106203512,106219891,106236261,106260921,106377391,106381931,106417891,106561091,106691731,106704521,106704541,106753841,106825621,87608455,94066162,96311944"
1248	0.015059142	2	[Nausea]	[REMODULIN] [LETAIRIS]	22	5.88235	LETAIRIS	92	2.72028	REMODULIN	46	4.85232	"102395572,102480842,102512492,103583183,103770812,103981286,104323145,104857481,105033341,105060942,105098971,105115142,105152052,105178871,105233721,105475801,105475892,105500682,105532591,105553161,105580193,105615412,105705902,105719641,105755762,105776872,105843846,105866822,105909151,105963481,106029071,106234443,106237321,106272651,106422001,106445181,106550212,106566511,106574342,106629921,106638653,106656063,106696641,106862151"
1249	0.014996951	2	[Gaitdisturbance]	[METHOTREXATE] [HUMIRA]	12	3.25203	METHOTREXATE	27	1.68961	HUMIRA	55	1.75607	"100607504,100738082,101999752,102509663,103667402,103667672,103698802,103753422,103909672,104119512,104211232,104501942,104744332,104847092,104948571,105066121,105075222,105096261,105142611,105143411,105143991,105189821,105200541,105224582,105315472,105322561,105399861,105510401,105582981,105588561,105610211,105669022,105672692,105686411,105735932,105741862,105745821,105776832,105776901,105863863,105930721,105943952,105995901,105998251,106018491,106022321,106077723,106091762,106138401,106162731,106168811,106175001,106194122,106199391,106264741,106268002,106268381,106269621,106316051,106357471,106362331,106439071,106442121,106495052,106503331,106525982,106594012,106597122,106639932,106640351,106677272,106723682,97401845,97801654,98798573"
1250	0.014902645	2	[Hypotension]	[LETAIRIS] [ADEMPAS]	13	12.8713	LETAIRIS	72	2.12892	ADEMPAS	19	13.0137	"103,974,292,105,557,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1251	0.014901882	2	[Coronaryarterydisease]	[NORVASC] [AVANDIA]	21	15.4412	AVANDIA	904	18.449	NORVASC	22	3.90764	"101,074,602,101,222,000"
1252	0.014864693	2	[Cough]	[REVATIO] [LETAIRIS]	34	5.73356	REVATIO	41	4.03147	LETAIRIS	147	4.34654	"101051484,102108512,102253432,102423964,102511832,102635402,102637252,102637382,102747592,102840223,103023072,103023102,103041333,103065392,103462322,103510334,103767903,104141592,104485252,104685913,104893741,104911381,104963972,104986461,105027681,105059701,105092371,105093311,105118893,105146752,105148911,105148931,105202121,105223841,105223861,105224043,105227262,105231001,105291411,105308241,105370601,105387721,105422511,105454212,105459681,105500621,105501961,105556612,105557531,105557771,105557972,105558121,105616532,105640351,105643381,105643661,105643751,105644182,105666231,105668451,105671631,105688381,105691241,105769671,105771671,105891413,105913211,105913231,105914311,105914991,105915492,105935672,105942341,105943461,105943651,105943761,105944022,105962801,105964022,105964271,105964391,106030861,106032351,106087591,106088581,106088651,106090011,106090811,106112511,106115502,106118281,106230861,106262721,106391811,106392061,106419481,106419512,106498832,106527841,106533051,106533081,106539701,106565291,106637451,106641511,106644371,106732881,106736611,106755981,106778401,106839391,106839681,106858291"
1253	0.014763499	2	[Pain]	[METHOTREXATE] [HUMIRA]	23	6.23306	HUMIRA	152	4.85313	METHOTREXATE	73	4.56821	"100607504,100738082,101999752,102509663,103667402,103667672,103698802,103753422,103909672,104119512,104211232,104501942,104744332,104847092,104948571,105066121,105075222,105096261,105142611,105143411,105143991,105189821,105200541,105224582,105315472,105322561,105399861,105510401,105582981,105588561,105610211,105669022,105672692,105686411,105735932,105741862,105745821,105776832,105776901,105863863,105930721,105943952,105995901,105998251,106018491,106022321,106077723,106091762,106138401,106162731,106168811,106175001,106194122,106199391,106264741,106268002,106268381,106269621,106316051,106357471,106362331,106439071,106442121,106495052,106503331,106525982,106594012,106597122,106639932,106640351,106677272,106723682,97401845,97801654,98798573"
1254	0.014680655	2	[Coronaryarterydisease]	[LIPITOR] [AVANDIA]	17	20.2381	LIPITOR	19	1.41474	AVANDIA	904	18.449	"101,095,812,101,256,000"
