Rank,score,ADR,intr_drugs,intr_support,intr_conf,drug1,d1_support,d1_conf,drug2,d2_support,d2_conf
245,0.134141753,[Impairedworkability] [Economicproblem],[ANDROGEL] [TESTIM],16,35.5556,[TESTIM],20,22.2222,[ANDROGEL],75,21.8023
246,0.133686083,[Myocardialinfarction],[LIPITOR] [LASIX],17,26.5625,[LIPITOR],79,5.88235,[LASIX],124,10.3506
247,0.133488781,[Myocardialinfarction],[ASPIRIN] [TOPROLXL],57,42.2222,[TOPROLXL],96,30,[ASPIRIN],474,15.8847
249,0.13303642,[Abdominalpain],[SIMVASTATIN] [DOXAZOSIN],15,37.5,[SIMVASTATIN],67,3.42886,[DOXAZOSIN],16,11.9403
251,0.132729994,[Secondaryimmunodeficiency],[PREDNISONE] [Rituximab],46,46.9388,[PREDNISONE],46,2.60919,[Rituximab],46,12.8134
252,0.132371429,[Headache],[ISOSORBIDEMONONITRATE] [SIMVASTATIN],14,58.3333,[ISOSORBIDEMONONITRATE],14,16.8675,[SIMVASTATIN],52,2.66121
254,0.131285882,[Anaemia],[RIBAVIRIN] [NEXIUM],11,55,[NEXIUM],23,3.27169,[RIBAVIRIN],180,18.6722
257,0.128925064,[Pulmonaryembolism],[SIMVASTATIN] [GABAPENTIN],16,22.8571,[GABAPENTIN],22,2.64741,[SIMVASTATIN],23,1.17707
260,0.127475514,[Toxicitytovariousagents],[THALOMID] [DEXAMETHASONE],10,31.25,[DEXAMETHASONE],114,7.14734,[THALOMID],15,15.3061
264,0.125807851,[Pyrexia],[PEGINTRON] [SIMEPREVIR],34,34,[PEGINTRON],60,21.8978,[SIMEPREVIR],42,19.0909
265,0.12568778,[Cardiacfailurecongestive],[LASIX] [LISINOPRIL],27,24.7706,[LASIX],120,10.0167,[LISINOPRIL],88,6.01093
266,0.125487791,[Druginteraction],[FOLICACID] [SIMVASTATIN],12,23.5294,[SIMVASTATIN],82,4.19652,[FOLICACID],20,1.85014
271,0.123324462,[Drugineffective],[REMICADE] [HUMIRA],15,18.75,[REMICADE],67,6.18652,[HUMIRA],181,5.77905
272,0.1231339,[Internationalnormalisedratioincreased],[BISOPROLOL] [FUROSEMIDE],11,16.6667,[FUROSEMIDE],24,2.04953,[BISOPROLOL],17,2.70701
273,0.123069047,[Blindness] [Toxicanteriorsegmentsyndrome],[TRYPANBLUE] [LIDOCAINE],20,100,[LIDOCAINE],20,17.5439,[TRYPANBLUE],20,100
274,0.122302345,[Pneumonia],[SPIRIVA] [ADVAIRHFA],27,25.7143,[SPIRIVA],87,12.5,[ADVAIRHFA],78,13.4948
275,0.122119411,[Myocardialinfarction],[LASIX] [DIGOXIN],14,22.9508,[LASIX],124,10.3506,[DIGOXIN],34,8.54271
277,0.121652596,[Neutropenia],[CISPLATIN] [CYCLOPHOSPHAMIDE],10,19.6078,[CISPLATIN],36,6.1017,[CYCLOPHOSPHAMIDE],55,6.99746
278,0.121643745,[Myocardialinfarction],[ASPIRIN] [LISINOPRIL],97,28.1977,[LISINOPRIL],167,11.4071,[ASPIRIN],474,15.8847
284,0.120026031,[Atrialfibrillation],[COUMADIN] [AVANDIA],12,15.5844,[AVANDIA],163,3.32653,[COUMADIN],34,3.14524
287,0.119138736,[Anaemia],[RIBAVIRIN] [SOVRIAD],34,36.1702,[SOVRIAD],39,25.4902,[RIBAVIRIN],180,18.6722
288,0.119137504,[Diseaseprogression],[ELOXATIN] [XELODA],16,80,[ELOXATIN],90,73.1707,[XELODA],51,14.4068
291,0.118312118,[Toxicitytovariousagents],[DULOXETINE] [QUETIAPINE],14,63.6364,[DULOXETINE],46,42.9907,[QUETIAPINE],23,7.87671
294,0.117508482,[Myocardialinfarction],[ASPIRIN] [NITROGLYCERIN],83,51.875,[NITROGLYCERIN],119,43.75,[ASPIRIN],474,15.8847
296,0.116850164,[Foetalexposureduringpregnancy] [Drugwithdrawalsyndromeneonatal],[NICOTINE] [SUBOXONE],13,39.3939,[SUBOXONE],30,7.35294,[NICOTINE],15,23.0769
297,0.116673692,[Drugineffective],[ENBREL] [HUMIRA],17,19.7674,[HUMIRA],181,5.77905,[ENBREL],102,3.65854
298,0.116120377,[Myocardialinfarction],[PLAVIX] [IMDUR],15,39.4737,[PLAVIX],313,19.0158,[IMDUR],30,30
299,0.11594958,[Neutrophilcountdecreased],[PEGINTRON] [SIMEPREVIR],24,24,[SIMEPREVIR],27,12.2727,[PEGINTRON],34,12.4088
300,0.115461399,[Pneumonia],[ALBUTEROL] [SPIRIVA],14,24.1379,[ALBUTEROL],33,12.5954,[SPIRIVA],87,12.5
302,0.114984105,[Malignantneoplasmprogression],[IRINOTECAN] [FOLINICACID],12,21.4286,[IRINOTECAN],17,9.39227,[FOLINICACID],13,7.42857
304,0.114822311,[Plateletcountdecreased],[RIBAVIRIN] [SIMEPREVIR],57,41.3043,[SIMEPREVIR],67,30.4545,[RIBAVIRIN],119,12.3444
306,0.114657957,[Hypotension],[AMLODIPINE] [ATENOLOL],11,17.1875,[ATENOLOL],24,3.08483,[AMLODIPINE],58,4.2029
307,0.114576833,[Myocardialinfarction],[METOPROLOLTARTRATE] [AVANDIA],14,60.8696,[AVANDIA],2411,49.2041,[METOPROLOLTARTRATE],17,11.3333
308,0.114314465,[Myocardialinfarction],[ISOSORBIDEMONONITRATE] [AVANDIA],12,54.5455,[AVANDIA],2411,49.2041,[ISOSORBIDEMONONITRATE],16,19.2771
310,0.113898679,[Cysticfibrosis] [Conditionaggravated],[TOBIPODHALER] [PULMOZYME],10,40,[PULMOZYME],11,15.493,[TOBIPODHALER],30,30.6122
311,0.113762587,[Myocardialinfarction],[Rosiglitazone] [AVANDIA],12,66.6667,[AVANDIA],2411,49.2041,[Rosiglitazone],13,59.0909
315,0.111617308,[Impairedworkability] [Pain] [Economicproblem],[ANDROGEL] [TESTIM],14,31.1111,[TESTIM],18,20,[ANDROGEL],68,19.7674
316,0.111552141,[Thromboticmicroangiopathy],[TACROLIMUS] [METHYLPREDNISOLONE],10,17.5439,[TACROLIMUS],20,4.41501,[METHYLPREDNISOLONE],12,2.97767
319,0.111244415,[Myocardialinfarction],[LANOXIN] [AVANDIA],12,60,[AVANDIA],2411,49.2041,[LANOXIN],12,11.3208
321,0.110888458,[Vomiting],[SIMVASTATIN] [DOXAZOSIN],11,27.5,[DOXAZOSIN],11,8.20896,[SIMVASTATIN],54,2.76356
322,0.110863418,[Cardiacfailurecongestive],[ASPIRIN] [LASIX],46,22.7723,[LASIX],120,10.0167,[ASPIRIN],180,6.03217
323,0.110759173,[Anaemia],[PEGASYS] [REBETOL],12,31.5789,[REBETOL],39,21.1957,[PEGASYS],86,17.3737
324,0.110540149,[Druginteraction],[DIGOXIN] [WARFARIN],10,16.9492,[WARFARIN],33,3.6626,[DIGOXIN],19,4.77387
327,0.109076334,[Acutekidneyinjury],[FUROSEMIDE] [RAMIPRIL],10,16.6667,[RAMIPRIL],45,5.39568,[FUROSEMIDE],66,5.63621
329,0.108200842,[Impairedworkability] [Pain],[ANDROGEL] [TESTIM],15,33.3333,[TESTIM],19,21.1111,[ANDROGEL],79,22.9651
330,0.107437911,[Myocardialinfarction],[METOPROLOL] [NITROGLYCERIN],25,51.0204,[NITROGLYCERIN],119,43.75,[METOPROLOL],143,14.0196
332,0.107405402,[Cardiacfailurecongestive],[ASPIRIN] [COUMADIN],14,18.6667,[ASPIRIN],180,6.03217,[COUMADIN],42,3.88529
334,0.107065824,[Asthma],[ADVAIRHFA] [SINGULAIR],10,22.2222,[ADVAIRHFA],42,7.26644,[SINGULAIR],32,10.7023
335,0.10705065,[Nausea],[PEGASYS] [SOVALDI],10,19.6078,[SOVALDI],48,7.6555,[PEGASYS],26,5.25253
336,0.106880949,[Coronaryarterydisease],[ROSIGLITAZONEMALEATE] [AVANDIA],27,61.3636,[AVANDIA],904,18.449,[ROSIGLITAZONEMALEATE],32,59.2593
337,0.106798416,[Anaemia],[RIBAVIRIN] [PEGINTRON],52,35.6164,[RIBAVIRIN],180,18.6722,[PEGINTRON],73,26.6423
338,0.106390958,[Cerebrovascularaccident],[ANDROGEL] [TESTIM],16,35.5556,[ANDROGEL],63,18.314,[TESTIM],24,26.6667
341,0.105462123,[Drugresistance] [Genotypedrugresistancetest] [Viralinfection],[LAMIVUDINE] [Adefovir],17,85,[LAMIVUDINE],29,15.1042,[Adefovir],17,85
343,0.10533448,[Posteriorreversibleencephalopathysyndrome],[ETOPOSIDE] [DEXAMETHASONE],26,32.5,[DEXAMETHASONE],32,2.00627,[ETOPOSIDE],35,8.39329
344,0.105248596,[Diseaseprogression],[OXALIPLATIN] [5FLUOROURACIL],20,29.8507,[OXALIPLATIN],33,7.95181,[5FLUOROURACIL],22,17.7419
346,0.104941181,[Asthma],[XOLAIR] [ADVAIRHFA],10,34.4828,[XOLAIR],75,20.9497,[ADVAIRHFA],42,7.26644
347,0.104547796,[Type2diabetesmellitus],[LIPITOR] [VITAMINC],10,66.6667,[LIPITOR],558,41.5488,[VITAMINC],10,5.74713
348,0.104315655,[Chronicobstructivepulmonarydisease],[SPIRIVA] [ADVAIRHFA],21,20,[ADVAIRHFA],50,8.65052,[SPIRIVA],66,9.48276
349,0.104108582,[Myocardialinfarction],[ASPIRIN] [NORVASC],27,27,[NORVASC],49,8.70337,[ASPIRIN],474,15.8847
351,0.10304121,[Toxicitytovariousagents],[ETOPOSIDE] [SORAFENIB],11,68.75,[SORAFENIB],14,42.4242,[ETOPOSIDE],23,5.51559
352,0.102780992,[Cardiacfailurecongestive],[COREG] [AVANDIA],41,31.0606,[COREG],51,18.3453,[AVANDIA],1052,21.4694
353,0.102730305,[Pyrexia],[RIBAVIRIN] [PEGINTRON],49,33.5616,[PEGINTRON],60,21.8978,[RIBAVIRIN],82,8.50622
354,0.102723583,[Unevaluableevent],[POMALYST] [DEXAMETHASONE],10,16.3934,[POMALYST],16,5.22876,[DEXAMETHASONE],93,5.83072
356,0.102602452,[Plateletcountdecreased],[RIBAVIRIN] [SOVRIAD],41,43.617,[RIBAVIRIN],119,12.3444,[SOVRIAD],54,35.2941
357,0.102353157,[Myocardialinfarction],[PLAVIX] [NORVASC],19,30.1587,[NORVASC],49,8.70337,[PLAVIX],313,19.0158
358,0.101371442,[Fatigue],[PEGASYS] [SOVALDI],10,19.6078,[PEGASYS],30,6.06061,[SOVALDI],54,8.61244
359,0.101075359,[Generalphysicalhealthdeterioration],[Bevacizumab] [CARBOPLATIN],11,24.4444,[CARBOPLATIN],18,3.27869,[Bevacizumab],26,8.69565
360,0.101061097,[Whitebloodcellcountdecreased],[RIBAVIRIN] [SIMEPREVIR],48,34.7826,[RIBAVIRIN],102,10.5809,[SIMEPREVIR],55,25
361,0.101055576,[Rash],[RIBAVIRIN] [Telaprevir],11,35.4839,[Telaprevir],15,25.4237,[RIBAVIRIN],98,10.166
363,0.100005725,[Neutropenia],[CYCLOPHOSPHAMIDE] [RITUXIMAB],15,17.6471,[RITUXIMAB],22,5.44554,[CYCLOPHOSPHAMIDE],55,6.99746
364,0.099604674,[Cardiacfailurecongestive],[ROSIGLITAZONEMALEATE] [AVANDIA],26,59.0909,[ROSIGLITAZONEMALEATE],32,59.2593,[AVANDIA],1052,21.4694
365,0.099423153,[Myocardialinfarction],[AMIODARONE] [AVANDIA],24,57.1429,[AVANDIA],2411,49.2041,[AMIODARONE],25,11.1111
366,0.099228671,[Death],[AVASTIN] [CARBOPLATIN],10,20.8333,[AVASTIN],54,9.04523,[CARBOPLATIN],28,5.10018
367,0.099184496,[Myocardialinfarction],[ZESTRIL] [AVANDIA],18,52.9412,[AVANDIA],2411,49.2041,[ZESTRIL],18,31.0345
368,0.098919569,[Acutemyocardialinfarction],[METOPROLOL] [AVANDIA],37,17.2897,[AVANDIA],285,5.81633,[METOPROLOL],39,3.82353
370,0.09857587,[Hyperkalaemia],[METFORMIN] [SPIRONOLACTONE],11,34.375,[METFORMIN],19,1.12426,[SPIRONOLACTONE],22,5.91398
371,0.097907779,[Gastrointestinalhaemorrhage],[ASPIRIN] [PRADAXA],12,19.3548,[ASPIRIN],108,3.6193,[PRADAXA],62,6.82819
372,0.097678374,[Dizziness],[AMLODIPINE] [SIMVASTATIN],22,14.7651,[AMLODIPINE],62,4.49275,[SIMVASTATIN],94,4.81064
373,0.096859766,[Pneumonia],[ALBUTEROL] [ADVAIRHFA],12,23.0769,[ALBUTEROL],33,12.5954,[ADVAIRHFA],78,13.4948
374,0.096740173,[Acutekidneyinjury],[OMEPRAZOLE] [COCODAMOL],19,39.5833,[COCODAMOL],31,15.3465,[OMEPRAZOLE],50,2.89687
375,0.096423511,[Dyspnoea],[REVATIO] [TRACLEER],16,23.8806,[REVATIO],147,14.4543,[TRACLEER],102,11.039
376,0.096065412,[Dyspnoea],[LETAIRIS] [LASIX],18,26.8657,[LASIX],63,5.25876,[LETAIRIS],465,13.7493
377,0.095861055,[Dyspnoea],[LETAIRIS] [OXYGEN],10,27.027,[OXYGEN],40,18.0995,[LETAIRIS],465,13.7493
378,0.094957784,[Plateletcountdecreased],[PEGINTRON] [SOVRIAD],26,42.623,[PEGINTRON],79,28.8321,[SOVRIAD],54,35.2941
379,0.094770804,[Crohnsdisease],[HUMIRA] [IMURAN],12,24.4898,[HUMIRA],162,5.17241,[IMURAN],16,12.1212
382,0.094345207,[Cerebrovascularaccident],[ASPIRIN] [HYDROCHLOROTHIAZIDE],17,17,[ASPIRIN],172,5.76407,[HYDROCHLOROTHIAZIDE],41,7.13044
383,0.093908492,[Anaemia],[VICTRELIS] [REBETOL],11,34.375,[REBETOL],39,21.1957,[VICTRELIS],32,26.4463
385,0.093427301,[Pericardialeffusion],[EPILIM] [KEPPRA],10,62.5,[KEPPRA],12,2.41449,[EPILIM],10,23.2558
386,0.092893686,[Cardiacfailurecongestive],[CLONIDINE] [AVANDIA],13,32.5,[CLONIDINE],16,7.44186,[AVANDIA],1052,21.4694
387,0.092785141,[Whitebloodcellcountdecreased],[RIBAVIRIN] [PEGINTRON],39,26.7123,[RIBAVIRIN],102,10.5809,[PEGINTRON],49,17.8832
388,0.09270885,[Drugreactionwitheosinophiliaandsystemicsymptoms],[OMEPRAZOLE] [LISINOPRIL],11,11,[OMEPRAZOLE],19,1.10081,[LISINOPRIL],14,0.956284
390,0.092685763,[Agitation],[METFORMIN] [THYROXINE],11,68.75,[THYROXINE],11,13.75,[METFORMIN],19,1.12426
392,0.09227202,[Seizure],[LAMICTAL] [KEPPRA],12,26.087,[KEPPRA],87,17.505,[LAMICTAL],54,13.2678
393,0.092162431,[Seizure],[VIMPAT] [KEPPRA],14,31.8182,[KEPPRA],87,17.505,[VIMPAT],37,24.183
396,0.09165365,[Toxicitytovariousagents],[PREDNISONE] [Melphalan],10,32.2581,[PREDNISONE],32,1.81509,[Melphalan],10,8.84956
397,0.091648759,[Myocardialinfarction] [Coronaryarterydisease],[Rosiglitazone] [AVANDIA],11,61.1111,[Rosiglitazone],12,54.5455,[AVANDIA],509,10.3878
399,0.091543322,[Myocardialinfarction],[ASPIRIN] [LOPRESSOR],40,35.0877,[LOPRESSOR],65,28.6344,[ASPIRIN],474,15.8847
400,0.091432622,[Diseaserecurrence],[5fluorouracil] [Epirubicin],100,61.3497,[Epirubicin],102,39.0805,[5fluorouracil],102,60.355
401,0.091268389,[Cerebrovascularaccident],[HYDROCHLOROTHIAZIDE] [AVANDIA],32,31.068,[AVANDIA],986,20.1224,[HYDROCHLOROTHIAZIDE],41,7.13044
406,0.089639329,[Death],[SANDOSTATIN] [SANDOSTATINLARDEPOT],17,43.5897,[SANDOSTATINLARDEPOT],60,18.1269,[SANDOSTATIN],39,40.2062
407,0.089560559,[HepatitisB],[PREDNISOLONE] [CYCLOPHOSPHAMIDE],13,15.2941,[PREDNISOLONE],14,1.27971,[CYCLOPHOSPHAMIDE],20,2.54453
408,0.089384071,[Psychoticdisorder],[ABILIFYMAINTENA] [ABILIFY],10,30.303,[ABILIFYMAINTENA],12,21.8182,[ABILIFY],34,9.65909
412,0.08812169,[Acutemyocardialinfarction],[ASPIRIN] [CLOPIDOGREL],26,15.0289,[CLOPIDOGREL],31,5.75139,[ASPIRIN],140,4.69169
413,0.088120476,[Renalimpairment],[MYCOPHENOLATEMOFETIL] [CICLOSPORIN],11,16.6667,[CICLOSPORIN],15,5.53506,[MYCOPHENOLATEMOFETIL],23,7.32484
414,0.088068111,[Hereditaryangioedema],[FIRAZYR] [CINRYZE],16,50,[FIRAZYR],29,44.6154,[CINRYZE],38,35.514
415,0.087787721,[Cardiacfailurecongestive],[ASPIRIN] [NORVASC],17,17,[ASPIRIN],180,6.03217,[NORVASC],44,7.81528
416,0.087673912,[Lossofconsciousness],[SIMVASTATIN] [PERINDOPRIL],15,38.4615,[SIMVASTATIN],36,1.84237,[PERINDOPRIL],19,11.5152
421,0.086382288,[Bloodbilirubinincreased],[PEGINTRON] [SIMEPREVIR],22,22,[SIMEPREVIR],30,13.6364,[PEGINTRON],31,11.3139
422,0.086350535,[Pancytopenia],[VINCRISTINE] [METHOTREXATE],10,12.8205,[VINCRISTINE],11,3.83275,[METHOTREXATE],54,3.37922
423,0.086346365,[Cerebrovascularaccident],[HYDROCHLOROTHIAZIDE] [LISINOPRIL],16,15.8416,[LISINOPRIL],97,6.62568,[HYDROCHLOROTHIAZIDE],41,7.13044
424,0.086298837,[Depression] [Dysphagia] [Neuropathyperipheral],[SIMVASTATIN] [CITALOPRAM],10,16.3934,[CITALOPRAM],11,1.32371,[SIMVASTATIN],10,0.511771
425,0.086230554,[Whitebloodcellcountdecreased],[RIBAVIRIN] [SOVRIAD],33,35.1064,[RIBAVIRIN],102,10.5809,[SOVRIAD],43,28.1046
426,0.086190506,[Asthma],[XOLAIR] [SINGULAIR],16,28.5714,[XOLAIR],75,20.9497,[SINGULAIR],32,10.7023
427,0.086072014,[Cerebrovascularaccident],[ASPIRIN] [COUMADIN],12,16,[ASPIRIN],172,5.76407,[COUMADIN],38,3.51526
428,0.085694835,[Myocardialinfarction],[METOPROLOL] [AVANDIA],109,50.9346,[AVANDIA],2411,49.2041,[METOPROLOL],143,14.0196
429,0.085436324,[Internationalnormalisedratioincreased],[FUROSEMIDE] [WARFARIN],14,15.9091,[FUROSEMIDE],24,2.04953,[WARFARIN],37,4.10655
430,0.085344,[Exposureduringpregnancy],[PREDNISOLONE] [AZATHIOPRINE],20,21.2766,[AZATHIOPRINE],25,6.70241,[PREDNISOLONE],25,2.28519
431,0.085224077,[Myocardialinfarction],[ECOTRIN] [AVANDIA],22,50,[AVANDIA],2411,49.2041,[ECOTRIN],24,26.3736
432,0.084983353,[Cardiacfailurecongestive],[ASPIRIN] [LISINOPRIL],50,14.5349,[LISINOPRIL],88,6.01093,[ASPIRIN],180,6.03217
433,0.084980063,[Lossofconsciousness],[SIMVASTATIN] [FUROSEMIDE],11,12.3596,[SIMVASTATIN],36,1.84237,[FUROSEMIDE],30,2.56191
434,0.08490878,[Myocardialinfarction] [Coronaryarterydisease],[ROSIGLITAZONEMALEATE] [AVANDIA],16,36.3636,[ROSIGLITAZONEMALEATE],16,29.6296,[AVANDIA],509,10.3878
435,0.084767412,[Coronaryarterydisease],[IMDUR] [AVANDIA],17,26.5625,[AVANDIA],904,18.449,[IMDUR],17,17
436,0.084263989,[Myocardialinfarction],[ASPIRIN] [ZOCOR],14,23.7288,[ZOCOR],26,11.8721,[ASPIRIN],474,15.8847
438,0.083968627,[Cerebrovascularaccident],[ZOCOR] [AVANDIA],18,27.6923,[ZOCOR],22,10.0457,[AVANDIA],986,20.1224
440,0.083348075,[Hyperkalaemia],[GLICLAZIDE] [ATORVASTATIN],11,30.5556,[GLICLAZIDE],15,9.09091,[ATORVASTATIN],15,1.80941
441,0.083249264,[Pain] [Cerebrovascularaccident],[ANDROGEL] [TESTIM],11,24.4444,[TESTIM],15,16.6667,[ANDROGEL],48,13.9535
443,0.082755926,[Cardiacfailurecongestive],[NORVASC] [AVANDIA],41,30.1471,[NORVASC],44,7.81528,[AVANDIA],1052,21.4694
444,0.082483167,[Psoriasis],[ENBREL] [HUMIRA],13,15.1163,[HUMIRA],77,2.45849,[ENBREL],125,4.4835
445,0.082455752,[Injury],[ANDROGEL] [DEPOTESTOSTERONE],11,55,[DEPOTESTOSTERONE],13,28.8889,[ANDROGEL],195,56.686
446,0.082179878,[Toxicitytovariousagents],[Bortezomib] [DEXAMETHASONE],17,40.4762,[Bortezomib],18,30.5085,[DEXAMETHASONE],114,7.14734
447,0.081731282,[Economicproblem],[ANDROGEL] [TESTIM],34,75.5556,[ANDROGEL],210,61.0465,[TESTIM],65,72.2222
449,0.081419939,[Myocardialinfarction],[LISINOPRIL] [METOPROLOL],39,21.7877,[LISINOPRIL],167,11.4071,[METOPROLOL],143,14.0196
453,0.080948852,[Economicproblem],[ANDROGEL] [DEPOTESTOSTERONE],12,60,[DEPOTESTOSTERONE],17,37.7778,[ANDROGEL],210,61.0465
454,0.080918842,[Death],[ACYCLOVIR] [DEXAMETHASONE],11,16.9231,[ACYCLOVIR],19,8.83721,[DEXAMETHASONE],138,8.65204
455,0.080821231,[Myocardialinfarction],[ASPIRIN] [IMDUR],18,34.6154,[IMDUR],30,30,[ASPIRIN],474,15.8847
456,0.08041926,[Cardiacfailurecongestive],[COZAAR] [AVANDIA],10,30.303,[COZAAR],11,7.23684,[AVANDIA],1052,21.4694
458,0.080219806,[Pyrexia],[RIBAVIRIN] [SIMEPREVIR],37,26.8116,[RIBAVIRIN],82,8.50622,[SIMEPREVIR],42,19.0909
462,0.079757873,[Myalgia],[METFORMIN] [OMEPRAZOLE],12,9.91736,[METFORMIN],32,1.89349,[OMEPRAZOLE],33,1.91194
463,0.079721093,[Whitebloodcellcountdecreased],[PEGINTRON] [SIMEPREVIR],31,31,[SIMEPREVIR],55,25,[PEGINTRON],49,17.8832
465,0.079484632,[Anaemia],[PEGINTRON] [SIMEPREVIR],35,35,[SIMEPREVIR],60,27.2727,[PEGINTRON],73,26.6423
468,0.079011573,[Myocardialinfarction],[PLAVIX] [AVANDIA],239,48.2828,[AVANDIA],2411,49.2041,[PLAVIX],313,19.0158
470,0.078600186,[Myocardialinfarction],[PLAVIX] [LASIX],31,25.8333,[LASIX],124,10.3506,[PLAVIX],313,19.0158
473,0.078408321,[Myocardialinfarction],[LIPITOR] [NITROGLYCERIN],11,57.8947,[LIPITOR],79,5.88235,[NITROGLYCERIN],119,43.75
474,0.078308017,[Cerebrovascularaccident],[ASPIRIN] [ZOCOR],11,18.6441,[ZOCOR],22,10.0457,[ASPIRIN],172,5.76407
475,0.077659348,[Drugineffective],[RIBAVIRIN] [SOVALDI],51,23.7209,[SOVALDI],99,15.7895,[RIBAVIRIN],72,7.46888
477,0.077380735,[Offlabeluse],[SIMEPREVIR] [SOVALDI],11,35.4839,[SOVALDI],199,31.7384,[SIMEPREVIR],38,17.2727
478,0.07732227,[Breastcancer],[LETROZOLEUNKNOWN] [XELODA],15,100,[LETROZOLEUNKNOWN],16,100,[XELODA],33,9.32203
483,0.076728306,[Impairedworkability] [Anxiety],[ANDROGEL] [TESTIM],12,26.6667,[ANDROGEL],67,19.4767,[TESTIM],16,17.7778
484,0.07648802,[Fall],[SIMVASTATIN] [FUROSEMIDE],10,11.236,[FUROSEMIDE],40,3.41588,[SIMVASTATIN],62,3.17298
486,0.075199703,[Infusionrelatedreaction],[DIPHENHYDRAMINEHCL] [METHYLPREDNISOLONE],12,52.1739,[DIPHENHYDRAMINEHCL],12,37.5,[METHYLPREDNISOLONE],21,5.21092
487,0.074947606,[Unevaluableevent],[Bortezomib] [DEXAMETHASONE],15,35.7143,[DEXAMETHASONE],93,5.83072,[Bortezomib],15,25.4237
489,0.074824185,[Acutemyocardialinfarction],[PLAVIX] [AVANDIA],68,13.7374,[AVANDIA],285,5.81633,[PLAVIX],74,4.49575
490,0.074738934,[Myocardialinfarction],[TOPROLXL] [AVANDIA],93,49.4681,[AVANDIA],2411,49.2041,[TOPROLXL],96,30
491,0.074493558,[Toxicitytovariousagents],[REVLIMID] [DEXAMETHASONE],89,16.2706,[REVLIMID],147,8.78661,[DEXAMETHASONE],114,7.14734
492,0.074457177,[Anaemia],[RIBAVIRIN] [BOCEPREVIR],11,39.2857,[BOCEPREVIR],15,37.5,[RIBAVIRIN],180,18.6722
493,0.07367584,[Drugineffective],[METHOTREXATE] [PREDNISOLONE],17,13.2812,[PREDNISOLONE],51,4.66179,[METHOTREXATE],90,5.63204
495,0.073101438,[Fluidretention],[LETAIRIS] [LASIX],11,16.4179,[LASIX],20,1.66945,[LETAIRIS],150,4.43525
496,0.073099892,[Dyspnoea],[VELETRI] [COUMADIN],12,20.6897,[VELETRI],39,13.8298,[COUMADIN],97,8.97317
498,0.073073407,[Myocardialinfarction],[DIGOXIN] [AVANDIA],30,53.5714,[AVANDIA],2411,49.2041,[DIGOXIN],34,8.54271
499,0.072917328,[Diseaseprogression],[AVASTIN] [XELODA],22,27.5,[AVASTIN],132,22.1106,[XELODA],51,14.4068
500,0.072666658,[Anaemia],[PEGASYS] [INCIVO],20,26.6667,[INCIVO],35,20.2312,[PEGASYS],86,17.3737
502,0.072075306,[Myocardialinfarction],[ALTACE] [AVANDIA],33,48.5294,[AVANDIA],2411,49.2041,[ALTACE],33,27.9661
503,0.072073876,[Cardiacfailurecongestive],[CARVEDILOL] [AVANDIA],10,31.25,[CARVEDILOL],24,5.45455,[AVANDIA],1052,21.4694
506,0.071468106,[Druginteraction],[PEGASYS] [INCIVO],10,13.3333,[INCIVO],10,5.78035,[PEGASYS],22,4.44444
507,0.071186482,[Bonemarrowfailure],[TOPOTECAN] [CARBOPLATIN],13,39.3939,[CARBOPLATIN],23,4.18944,[TOPOTECAN],14,25
508,0.071116042,[Impairedworkability] [Injury] [Economicproblem],[ANDROGEL] [TESTIM],10,22.2222,[TESTIM],10,11.1111,[ANDROGEL],55,15.9884
509,0.071041546,[Anaemia],[RIBAVIRIN] [TELAPREVIR],21,35.5932,[TELAPREVIR],25,32.8947,[RIBAVIRIN],180,18.6722
511,0.070734006,[Renalimpairment],[PREDNISOLONE] [CICLOSPORIN],11,16.6667,[CICLOSPORIN],15,5.53506,[PREDNISOLONE],23,2.10238
512,0.07072691,[Myocardialinfarction],[NITROGLYCERIN] [AVANDIA],115,53.9906,[AVANDIA],2411,49.2041,[NITROGLYCERIN],119,43.75
513,0.070689755,[Plateletcountdecreased] [Pyrexia],[RIBAVIRIN] [PEGINTRON],33,22.6027,[PEGINTRON],34,12.4088,[RIBAVIRIN],39,4.04564
515,0.070330424,[Internationalnormalisedratioincreased] [Druginteraction],[FUROSEMIDE] [WARFARIN],10,11.3636,[FUROSEMIDE],16,1.36635,[WARFARIN],21,2.33074
516,0.070152606,[Infection],[DIANEALPD2PERITONEALDIALYSISSOLUTIONWITHDEXTROSE] [DIANEALPD2WITHDEXTROSE],34,37.7778,[DIANEALPD2WITHDEXTROSE],62,14.4186,[DIANEALPD2PERITONEALDIALYSISSOLUTIONWITHDEXTROSE],75,36.4078
517,0.069959755,[Cardiacfailurecongestive],[FUROSEMIDE] [AVANDIA],35,33.6538,[FUROSEMIDE],51,4.35525,[AVANDIA],1052,21.4694
518,0.069847777,[Injury] [Economicproblem],[ANDROGEL] [TESTIM],21,46.6667,[ANDROGEL],161,46.8023,[TESTIM],25,27.7778
519,0.069478846,[Pain],[ENBREL] [HUMIRA],11,12.7907,[ENBREL],158,5.66714,[HUMIRA],152,4.85313
522,0.069309691,[Acutekidneyinjury],[BISOPROLOL] [WARFARIN],10,18.8679,[WARFARIN],21,2.33074,[BISOPROLOL],45,7.1656
523,0.069185095,[Diarrhoea],[VOTRIENT] [LISINOPRIL],10,34.4828,[VOTRIENT],234,17.3462,[LISINOPRIL],42,2.86885
